BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	16	16	16	16
Contact period end (sample #):	29990	29990	29990	29990
Contact period start time (s):	0.016000	0.016000	0.016000	0.016000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	952.554260	952.554260	952.554260	952.554260
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  10:15:48
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.244000	-17.185136	2.707109	0.000125	0.000014
0.245000	-17.148889	1.878378	0.000126	0.000014
0.246000	-17.012374	1.937926	0.000126	0.000014
0.247000	-17.603133	3.183875	0.000126	0.000014
0.248000	-17.012374	1.937926	0.000126	0.000015
0.249000	-17.012374	1.937926	0.000127	0.000015
0.250000	-17.215038	1.727812	0.000127	0.000015
0.251000	-16.899752	2.242617	0.000127	0.000015
0.252000	-17.012374	1.937926	0.000127	0.000015
0.253000	-17.012374	1.937926	0.000128	0.000016
0.254000	-18.127391	1.371622	0.000128	0.000016
0.255000	-17.220373	2.054336	0.000128	0.000016
0.256000	-19.235714	3.320494	0.000128	0.000016
0.257000	-16.947553	2.048095	0.000129	0.000016
0.258000	-16.764793	1.476807	0.000129	0.000017
0.259000	-17.012374	1.937926	0.000129	0.000017
0.260000	-17.070974	1.810769	0.000129	0.000017
0.261000	-18.619159	1.305954	0.000129	0.000017
0.262000	-16.869831	2.372492	0.000130	0.000017
0.263000	-17.012374	1.937926	0.000130	0.000018
0.264000	-17.151155	1.861874	0.000130	0.000018
0.265000	-16.740982	2.648324	0.000130	0.000018
0.266000	-16.766894	2.308626	0.000130	0.000018
0.267000	-17.647412	1.759631	0.000131	0.000018
0.268000	-17.190474	2.637893	0.000131	0.000019
0.269000	-16.925462	1.803990	0.000131	0.000019
0.270000	-17.012374	1.937926	0.000131	0.000019
0.271000	-17.012374	1.937926	0.000131	0.000019
0.272000	-16.171206	0.775533	0.000131	0.000019
0.273000	-17.159673	2.042262	0.000131	0.000019
0.274000	-17.024306	1.715064	0.000131	0.000020
0.275000	-16.885350	2.683963	0.000132	0.000020
0.276000	-17.012374	1.937926	0.000132	0.000020
0.277000	-17.076095	1.598347	0.000132	0.000020
0.278000	-17.012374	1.937926	0.000132	0.000020
0.279000	-17.096887	1.890429	0.000132	0.000021
0.280000	-17.012374	1.937926	0.000132	0.000021
0.281000	-17.012374	1.937926	0.000132	0.000021
0.282000	-17.012374	1.937926	0.000132	0.000021
0.283000	-17.012374	1.937926	0.000132	0.000021
0.284000	-17.072634	1.820830	0.000132	0.000021
0.285000	-16.928904	1.994179	0.000132	0.000022
0.286000	-16.519578	1.535326	0.000132	0.000022
0.287000	-17.012374	1.937926	0.000133	0.000022
0.288000	-17.085528	1.901503	0.000133	0.000022
0.289000	-17.012374	1.937926	0.000133	0.000022
0.290000	-16.981654	1.838003	0.000133	0.000023
0.291000	-17.012374	1.937926	0.000133	0.000023
0.292000	-17.012374	1.937926	0.000133	0.000023
0.293000	-17.012374	1.937926	0.000133	0.000023
0.294000	-17.012374	1.937926	0.000133	0.000023
0.295000	-12.872765	1.461074	0.000133	0.000023
0.296000	-17.012374	1.937926	0.000133	0.000024
0.297000	-16.087442	2.679713	0.000133	0.000024
0.298000	-17.012374	1.937926	0.000132	0.000024
0.299000	-17.012374	1.937926	0.000132	0.000024
0.300000	-17.012374	1.937926	0.000132	0.000024
0.301000	-16.772862	1.960171	0.000132	0.000025
0.302000	-17.012374	1.937926	0.000132	0.000025
0.303000	-17.012374	1.937926	0.000132	0.000025
0.304000	-16.841735	1.450202	0.000132	0.000025
0.305000	-17.062399	1.410636	0.000132	0.000025
0.306000	-16.992606	2.139545	0.000132	0.000026
0.307000	-16.639995	1.962714	0.000132	0.000026
0.308000	-17.012374	1.937926	0.000132	0.000026
0.309000	-17.012374	1.937926	0.000131	0.000026
0.310000	-17.012374	1.937926	0.000131	0.000026
0.311000	-17.069516	1.608593	0.000131	0.000027
0.312000	-16.781757	-1.667782	0.000131	0.000027
0.313000	-16.846804	1.718199	0.000131	0.000027
0.314000	-16.603093	2.062899	0.000131	0.000027
0.315000	-17.012374	1.937926	0.000131	0.000027
0.316000	-17.012374	1.937926	0.000130	0.000028
0.317000	-17.012374	1.937926	0.000130	0.000028
0.318000	-15.012252	1.315572	0.000130	0.000028
0.319000	-17.012374	1.937926	0.000130	0.000028
0.320000	-17.012374	1.937926	0.000129	0.000028
0.321000	-17.012374	1.937926	0.000129	0.000029
0.322000	-17.012374	1.937926	0.000129	0.000029
0.323000	-16.787294	2.092835	0.000129	0.000029
0.324000	-16.268973	2.298402	0.000128	0.000029
0.325000	-17.012374	1.937926	0.000128	0.000030
0.326000	-17.012374	1.937926	0.000128	0.000030
0.327000	-17.012374	1.937926	0.000127	0.000030
0.328000	-16.501736	2.350198	0.000127	0.000030
0.329000	-16.255992	0.889747	0.000127	0.000031
0.330000	-13.358652	2.046479	0.000126	0.000031
0.331000	-17.012374	1.937926	0.000126	0.000031
0.332000	-17.012374	1.937926	0.000126	0.000031
0.333000	-15.777492	0.793943	0.000125	0.000032
0.334000	-17.012374	1.937926	0.000125	0.000032
0.335000	-16.790127	1.603758	0.000125	0.000032
0.336000	-17.012374	1.937926	0.000124	0.000032
0.337000	-17.012374	1.937926	0.000124	0.000033
0.338000	-16.810247	1.293221	0.000123	0.000033
0.339000	-16.803293	1.446433	0.000123	0.000033
0.340000	-13.927607	0.938791	0.000122	0.000034
0.341000	-16.964902	1.922283	0.000122	0.000034
0.342000	-17.012374	1.937926	0.000122	0.000034
0.343000	-17.012374	1.937926	0.000121	0.000034
0.344000	-17.012374	1.937926	0.000121	0.000035
0.345000	-16.254815	1.631313	0.000120	0.000035
0.346000	-16.945664	1.999177	0.000120	0.000035
0.347000	-17.012374	1.937926	0.000119	0.000036
0.348000	-17.012374	1.937926	0.000118	0.000036
0.349000	-16.586675	1.604730	0.000118	0.000036
0.350000	-15.777183	0.822775	0.000117	0.000036
0.351000	-16.756563	1.654675	0.000117	0.000037
0.352000	-16.697500	1.898486	0.000116	0.000037
0.353000	-17.012374	1.937926	0.000116	0.000037
0.354000	-17.012374	1.937926	0.000115	0.000038
0.355000	-17.012374	1.937926	0.000114	0.000038
0.356000	-17.012374	1.937926	0.000114	0.000038
0.357000	-16.556831	1.588431	0.000113	0.000039
0.358000	-17.012374	1.937926	0.000112	0.000039
0.359000	-15.873965	0.717954	0.000112	0.000039
0.360000	-16.368877	1.987092	0.000111	0.000040
0.361000	-16.215638	2.160473	0.000110	0.000040
0.362000	-16.570827	1.304980	0.000110	0.000040
0.363000	-16.640404	0.884851	0.000109	0.000041
0.364000	-17.061067	1.265452	0.000108	0.000041
0.365000	-15.260246	1.576077	0.000107	0.000041
0.366000	-17.012374	1.937926	0.000107	0.000042
0.367000	-16.939109	1.592598	0.000106	0.000042
0.368000	-16.260318	0.812841	0.000105	0.000042
0.369000	-17.012374	1.937926	0.000104	0.000043
0.370000	-16.345174	1.557239	0.000104	0.000043
0.371000	-17.012374	1.937926	0.000103	0.000043
0.372000	-16.781138	0.725940	0.000102	0.000044
0.373000	-17.012374	1.937926	0.000101	0.000044
0.374000	-17.012374	1.937926	0.000100	0.000044
0.375000	-16.360221	0.888479	0.000099	0.000045
0.376000	-17.012374	1.937926	0.000099	0.000045
0.377000	-17.012374	1.937926	0.000098	0.000045
0.378000	-16.508159	2.706684	0.000097	0.000046
0.379000	-17.012374	1.937926	0.000096	0.000046
0.380000	-17.012374	1.937926	0.000095	0.000046
0.381000	-16.548829	1.323168	0.000094	0.000047
0.382000	-17.012374	1.937926	0.000093	0.000047
0.383000	-15.739896	-1.765266	0.000092	0.000048
0.384000	-16.794050	1.720966	0.000091	0.000048
0.385000	-17.012374	1.937926	0.000090	0.000048
0.386000	-17.012374	1.937926	0.000089	0.000049
0.387000	-16.915282	1.622163	0.000088	0.000049
0.388000	-17.012374	1.937926	0.000087	0.000049
0.389000	-17.012374	1.937926	0.000086	0.000050
0.390000	-16.942218	1.980758	0.000085	0.000050
0.391000	-16.767632	1.566624	0.000084	0.000050
0.392000	-16.805959	0.870037	0.000083	0.000051
0.393000	-17.012374	1.937926	0.000082	0.000051
0.394000	-17.039165	0.720117	0.000081	0.000052
0.395000	-16.799289	0.214932	0.000080	0.000052
0.396000	-16.258994	1.361274	0.000079	0.000052
0.397000	-17.069427	1.725539	0.000078	0.000053
