BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2	2	2	2
Contact period end (sample #):	29998	29998	29998	29998
Contact period start time (s):	0.002000	0.002000	0.002000	0.002000
Contact period end time (s):	29.997999	29.997999	29.997999	29.997999
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	705.564941	705.564941	705.564941	705.564941
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  11:47:58
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.252000	-8.852565	10.708443	0.000208	-0.000675
0.253000	-5.058380	-9.578082	0.000210	-0.000681
0.254000	-5.058380	-9.578082	0.000212	-0.000687
0.255000	-28.695288	124.561642	0.000214	-0.000693
0.256000	-5.058380	-9.578082	0.000216	-0.000699
0.257000	-5.058380	-9.578082	0.000219	-0.000705
0.258000	-6.947339	-0.084427	0.000221	-0.000711
0.259000	-29.096925	128.047757	0.000223	-0.000717
0.260000	-30.844409	127.729657	0.000225	-0.000724
0.261000	-5.058380	-9.578082	0.000227	-0.000730
0.262000	-5.058380	-9.578082	0.000229	-0.000736
0.263000	-13.323937	36.038532	0.000232	-0.000742
0.264000	-9.224968	18.046265	0.000234	-0.000749
0.265000	-5.058380	-9.578082	0.000236	-0.000755
0.266000	-27.751131	120.625859	0.000238	-0.000761
0.267000	-5.058380	-9.578082	0.000240	-0.000768
0.268000	-5.058380	-9.578082	0.000243	-0.000774
0.269000	-5.058380	-9.578082	0.000245	-0.000780
0.270000	-5.058380	-9.578082	0.000247	-0.000787
0.271000	-5.058380	-9.578082	0.000250	-0.000793
0.272000	-5.058380	-9.578082	0.000252	-0.000800
0.273000	-12.840586	36.987886	0.000254	-0.000806
0.274000	-5.058380	-9.578082	0.000257	-0.000813
0.275000	-5.058380	-9.578082	0.000259	-0.000819
0.276000	-5.058380	-9.578082	0.000261	-0.000826
0.277000	-6.743880	0.810190	0.000264	-0.000833
0.278000	-5.058380	-9.578082	0.000266	-0.000839
0.279000	-8.265070	10.222209	0.000268	-0.000846
0.280000	-26.315014	121.078803	0.000271	-0.000852
0.281000	-6.560427	-0.305005	0.000273	-0.000859
0.282000	-5.058380	-9.578082	0.000276	-0.000866
0.283000	-5.058380	-9.578082	0.000278	-0.000873
0.284000	-5.058380	-9.578082	0.000281	-0.000879
0.285000	-5.058380	-9.578082	0.000283	-0.000886
0.286000	-5.058380	-9.578082	0.000286	-0.000893
0.287000	-5.058380	-9.578082	0.000288	-0.000900
0.288000	-5.058380	-9.578082	0.000291	-0.000907
0.289000	-12.154581	36.123962	0.000293	-0.000913
0.290000	-7.266983	3.099012	0.000296	-0.000920
0.291000	-6.463151	-1.347773	0.000298	-0.000927
0.292000	-5.058380	-9.578082	0.000301	-0.000934
0.293000	-5.927013	-3.356075	0.000303	-0.000941
0.294000	-5.058380	-9.578082	0.000306	-0.000948
0.295000	-5.058380	-9.578082	0.000308	-0.000955
0.296000	-5.058380	-9.578082	0.000311	-0.000962
0.297000	-11.907197	35.950293	0.000314	-0.000969
0.298000	-12.124644	36.335426	0.000316	-0.000976
0.299000	-6.509095	-1.395286	0.000319	-0.000984
0.300000	-7.524675	5.724614	0.000321	-0.000991
0.301000	-5.058380	-9.578082	0.000324	-0.000998
0.302000	-7.507329	5.799979	0.000327	-0.001005
0.303000	-29.128730	126.652776	0.000329	-0.001012
0.304000	-5.058380	-9.578082	0.000332	-0.001019
0.305000	-6.151177	-2.306289	0.000335	-0.001027
0.306000	-5.058380	-9.578082	0.000338	-0.001034
0.307000	-25.335794	121.472639	0.000340	-0.001041
0.308000	-8.252419	9.815240	0.000343	-0.001049
0.309000	-9.303480	17.184914	0.000346	-0.001056
0.310000	-28.359109	128.128280	0.000348	-0.001063
