abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
0.650000	-0.415331	-1.190233	746.539480	746.540544	-5.626148	5.210817	-9.791728	8.601495	302.143127	-3.953013	351.217438	97.131927	-29.978291	-6.259966	-0.039794	-0.013135	0.008385	-0.040156
0.660000	-0.510564	-1.222437	744.946482	744.947660	-5.802931	5.292367	-9.951347	8.728910	301.665314	-4.113378	352.146423	95.248123	-29.913514	-5.888623	-0.022571	0.007593	0.007905	-0.040155
0.670000	-0.655205	-1.190794	743.824613	743.825855	-5.947571	5.292367	-10.047119	8.856325	301.028198	-3.953013	353.385101	93.364326	-29.881264	-5.424737	-0.020426	0.014580	0.007293	-0.040172
0.680000	-0.799368	-1.079585	745.688149	745.689359	-6.124354	5.324986	-10.174814	9.095229	300.709625	-3.471916	355.243103	93.207336	-30.193966	-5.093465	-0.022537	0.017205	0.006831	-0.040491
0.690000	-1.009249	-0.952415	743.013288	743.014584	-6.268995	5.259747	-10.286548	9.334133	300.391083	-3.953013	354.623749	91.951469	-29.984572	-5.046034	-0.048733	-0.001537	0.006791	-0.040355
0.700000	-1.219607	-0.968726	743.786744	743.788374	-6.381494	5.161887	-10.462129	9.493402	300.231812	-3.471916	356.017273	91.009575	-30.009799	-4.698406	-0.085988	-0.030661	0.006317	-0.040347
0.710000	-1.364725	-1.048780	742.976398	742.978392	-6.493992	5.129267	-10.653671	9.604891	299.276154	-3.311550	357.101105	89.910690	-30.162245	-4.309088	-0.106376	-0.044890	0.005800	-0.040597
0.720000	-1.558057	-1.160830	743.427807	743.430346	-6.654704	5.096647	-10.909062	9.748233	299.116852	-3.311550	358.339752	89.282753	-30.311205	-4.074681	-0.128605	-0.058717	0.005481	-0.040772
0.730000	-1.670078	-1.192998	743.886940	743.889771	-6.799345	5.129267	-11.052719	9.859721	298.957581	-3.151185	359.268738	88.811806	-30.401146	-3.873374	-0.123771	-0.049306	0.005207	-0.040868
0.740000	-1.751389	-1.241128	743.563920	743.567018	-6.815415	5.064027	-11.212338	9.971210	298.798309	-3.471916	359.268738	88.968788	-30.526377	-3.915246	-0.166137	-0.087701	0.005266	-0.041054
0.750000	-1.815196	-1.432811	743.542594	743.546191	-6.911843	5.096647	-11.467729	10.034918	298.639038	-3.151185	361.126740	86.928001	-30.448902	-3.392662	-0.178620	-0.097748	0.004563	-0.040951
0.760000	-1.975908	-1.417129	742.733596	742.737577	-7.072555	5.096647	-11.579462	10.162333	298.161194	-3.151185	362.365417	85.358170	-30.478946	-3.005532	-0.175175	-0.088357	0.004047	-0.041036
0.770000	-2.250551	-1.417410	744.916313	744.921061	-7.249338	4.998787	-11.707158	10.289748	298.161194	-3.151185	363.449249	86.457054	-30.915477	-3.019697	-0.190004	-0.090856	0.004054	-0.041502
0.780000	-2.427811	-1.401797	744.751964	744.757240	-7.393978	4.966167	-11.850815	10.449018	298.161194	-2.990819	364.223419	85.358170	-30.819163	-2.783663	-0.203951	-0.098244	0.003738	-0.041382
0.790000	-2.572929	-1.322338	744.575351	744.580970	-7.506476	4.933547	-11.930625	10.608287	297.842651	-2.990819	365.307251	84.416267	-30.914833	-2.508880	-0.216665	-0.105381	0.003370	-0.041520
0.800000	-2.798881	-1.306655	746.434569	746.440960	-7.667189	4.868308	-12.042357	10.735703	297.842651	-2.830453	367.320068	84.102303	-31.223237	-2.220590	-0.226268	-0.105304	0.002975	-0.041830
0.810000	-2.911379	-1.259049	745.020220	745.026972	-7.779687	4.868308	-12.122168	10.863118	297.205536	-2.670088	367.010406	83.474365	-31.133209	-2.091762	-0.228635	-0.103439	0.002808	-0.041788
0.820000	-3.039948	-1.275222	745.015917	745.023210	-7.908256	4.868308	-12.233901	10.958679	297.205536	-2.670088	367.320068	83.160400	-31.131621	-2.022712	-0.227797	-0.097306	0.002715	-0.041787
0.830000	-3.038994	-1.259469	745.628099	745.635355	-7.972541	4.933547	-12.313710	11.054241	296.090576	-2.349356	367.784576	84.102303	-31.572457	-1.907674	-0.222937	-0.091033	0.002558	-0.042343
0.840000	-3.070181	-1.211864	743.731886	743.739210	-8.068968	4.998787	-12.393520	11.181656	295.612762	-2.509722	367.939392	82.689453	-31.450629	-1.682864	-0.215470	-0.082898	0.002263	-0.042288
0.850000	-3.069465	-1.339560	743.535170	743.542713	-8.117182	5.047717	-12.521215	11.181656	294.816376	-2.830453	369.487732	82.061516	-31.852386	-1.364600	-0.211365	-0.077413	0.001835	-0.042839
0.860000	-3.020058	-1.419369	743.073595	743.081088	-8.149324	5.129267	-12.601025	11.181656	294.338531	-2.670088	368.558716	82.846436	-31.883471	-1.491463	-0.198203	-0.065771	0.002007	-0.042908
0.870000	-3.051245	-1.674620	743.063520	743.071672	-8.245751	5.194507	-12.792568	11.117949	293.701416	-2.509722	368.868408	83.003418	-32.060670	-1.378844	-0.181210	-0.046452	0.001856	-0.043147
0.880000	-3.002076	-1.674760	742.593210	742.601166	-8.261823	5.259747	-12.856416	11.181656	293.064301	-2.349356	368.403900	83.474365	-32.157302	-1.393188	-0.180255	-0.047111	0.001876	-0.043304
0.890000	-2.986005	-1.786423	742.891680	742.899829	-8.245751	5.259747	-12.936225	11.149802	292.905029	-2.670088	368.868408	83.788330	-32.403972	-1.393775	-0.189224	-0.055626	0.001876	-0.043619
0.900000	-2.953862	-1.866162	742.851657	742.859874	-8.213609	5.259747	-12.984111	11.117949	291.790100	-2.990819	370.107056	83.945320	-32.966643	-1.167226	-0.197576	-0.063556	0.001571	-0.044379
0.910000	-3.050289	-1.977896	742.236331	742.245234	-8.310036	5.259747	-13.095844	11.117949	291.471527	-2.990819	368.868408	84.887215	-32.965979	-1.395001	-0.191699	-0.052505	0.001879	-0.044414
